,Sheet Name,Primary,Client Name,Est,Estimate Name,Month of Service,Product Name,Ordered,Status,Publisher,Billed,Missing Invoice/Incorrect Placement,Assigned To,Due Date,Placement name,Placement ID,Actual Net Billable,Approval Status,Estimate Status
32,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75570,Evergreen_ProgDigitalTV_Auctio,2021-06-01,Basebuy,6743.98,Approved,CANVAS,6537.53,,Luke Goldstein,2021-07-06,MAT_RCH_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - RCH - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSM3K,6742.2,Media Buy (Ordered <> Billable): Delta = $1.78,Dependent
33,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75570,Evergreen_ProgDigitalTV_Auctio,2021-07-01,Basebuy,6743.98,Approved,CANVAS,0.0,,Luke Goldstein,2021-07-06,MAT_RCH_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - RCH - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSM3K,6730.22,Media Buy (Ordered <> Billable): Delta = $13.76,Dependent
34,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75570,Evergreen_ProgDigitalTV_Auctio,2021-08-01,Basebuy,8804.63,Approved,CANVAS,0.0,,Luke Goldstein,2021-08-05,MAT_RCH_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - RCH - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSM3K,8804.63,Media Buy: Approved,Dependent
35,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75571,Evergreen_ProgDigitalTV_Auctio,2021-06-01,Basebuy,48745.2,Approved,CANVAS,47253.0,,Luke Goldstein,2021-07-06,MAT_WDC_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - WDC - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSMDS,48699.98,Media Buy (Ordered <> Billable): Delta = $45.22,Dependent
36,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75571,Evergreen_ProgDigitalTV_Auctio,2021-07-01,Basebuy,40662.19,Approved,CANVAS,0.0,,Luke Goldstein,2021-07-06,MAT_WDC_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - WDC - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSMDS,40619.19,Media Buy (Ordered <> Billable): Delta = $43.00,Dependent
37,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75571,Evergreen_ProgDigitalTV_Auctio,2021-08-01,Basebuy,55580.95,Approved,CANVAS,0.0,,Luke Goldstein,2021-08-05,MAT_WDC_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - WDC - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSMDS,33333.93,"Media Buy (Ordered <> Billable): Delta = $22,247.02",Dependent
38,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75571,Evergreen_ProgDigitalTV_Auctio,2021-08-01,Basebuy,55580.95,Approved,CANVAS,0.0,,Luke Goldstein,2021-08-05,MAT_WDC_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - WDC - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1QXFKR,24.4,"Media Buy (Ordered <> Billable): Delta = $55,556.55",Dependent
39,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75573,Evergreen_Prog_Auction_Cross C,2021-06-01,Basebuy,154286.14,Approved,CANVAS,129597.54,,Luke Goldstein,2021-07-06,MAT_BAL_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_INM_OPX_NON_VCR_HDAA - Mat - BAL - Amazon - Autos - 1PD_0x0_None_DVB_NON_N_No Button_N_NON,P1NKCWP,20446.82,"Media Buy (Ordered <> Billable): Delta = $133,839.32",Dependent
40,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75573,Evergreen_Prog_Auction_Cross C,2021-06-01,Basebuy,154286.14,Approved,CANVAS,129597.54,,Luke Goldstein,2021-07-06,MAT_BAL_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_INM_OPX_NON_VCR_HDAA - Mat - BAL - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JRTSQ,82021.58,"Media Buy (Ordered <> Billable): Delta = $72,264.56",Dependent
41,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75573,Evergreen_Prog_Auction_Cross C,2021-06-01,Basebuy,154286.14,Approved,CANVAS,129597.54,,Luke Goldstein,2021-07-06,MAT_BAL_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_INM_OPX_NON_VCR_HDAA - Mat - BAL - DV360 - TrV_0x0_None_DVB_NON_N_No Button_N_NON,P1JRTXV,26073.78,"Media Buy (Ordered <> Billable): Delta = $128,212.36",Dependent
